Rank,Release Group,Worldwide,Domestic,%,Foreign,%
89,Lamb of God: The Concert Film,"$700,720","$700,720",100%,-,-
90,Long Story Short,"$663,815",-,-,"$663,815",100%
91,Our Friend,"$657,351","$657,351",100%,-,-
92,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
93,Music,"$641,783",-,-,"$641,783",100%
94,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
95,Maya the Bee 3: The Golden Orb,"$541,499",-,-,"$541,499",100%
96,Long Weekend,"$521,929","$521,929",100%,-,-
97,Dark Spell,"$515,596",-,-,"$515,596",100%
98,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
99,Twist,"$438,168",-,-,"$438,168",100%
100,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
101,Willy's Wonderland,"$418,286","$418,286",100%,-,-
102,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
103,Ainbo,"$405,519",-,-,"$405,519",100%
104,The Truffle Hunters,"$390,792",-,-,"$390,792",100%
105,Riders of Justice,"$376,314",-,-,"$376,314",100%
106,Russian Yug,"$348,435",-,-,"$348,435",100%
107,My Salinger Year,"$347,711","$54,730",15.7%,"$292,981",84.3%
108,Earwig and the Witch,"$347,120","$173,704",50%,"$173,416",50%
109,Supernova,"$344,205","$234,220",68%,"$109,985",32%
110,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
111,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
112,Dutch,"$323,167","$323,167",100%,-,-
113,Kabadadaari,"$302,563",-,-,"$302,563",100%
114,Abominable 2021 Re-release,"$299,583","$110,000",36.7%,"$189,583",63.3%
115,The Vault,"$296,473",-,-,"$296,473",100%
116,Dawn Raid,"$292,930",-,-,"$292,930",100%
117,Ginger's Tale,"$284,298",-,-,"$284,298",100%
118,Don't Heal Me,"$282,513",-,-,"$282,513",100%
119,American Skin,"$282,332","$282,332",100%,-,-
120,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
121,Cosmic Sin,"$246,325",-,-,"$246,325",100%
122,The Only Way Out,"$236,062",-,-,"$236,062",100%
123,Vellam,"$233,364",-,-,"$233,364",100%
124,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
125,Ready o/r Knot,"$201,646",-,-,"$201,646",100%
126,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
127,Go Back,"$190,002",-,-,"$190,002",100%
128,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
129,Kill It and Leave This Town,"$183,771",-,-,"$183,771",100%
130,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
131,Sound of Metal,"$173,622",-,-,"$173,622",100%
132,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
133,The Reckoning,"$163,594","$143,532",87.7%,"$20,062",12.3%
134,Blind,"$147,131",-,-,"$147,131",100%
135,No Man's Land,"$139,221","$139,221",100%,-,-
136,Food Club,"$135,184",-,-,"$135,184",100%
